City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,alofi,-19.0595,-169.9187,73.29,88,100,5.75,NU,1681319196
214,chimbote,-9.0853,-78.5783,79.03,76,82,8.14,PE,1681319633
215,muscat,23.6139,58.5922,84.22,57,8,7.31,OM,1681319564
216,erzin,36.9559,36.2,51.87,89,99,5.12,TR,1681319633
217,koppies,-27.2418,27.5742,62.91,19,96,6.76,ZA,1681319633
218,vao,-22.6667,167.4833,76.21,77,83,4.23,NC,1681319218
219,guozhen,34.3659,107.359,62.78,70,79,3.89,CN,1681319634
220,yuncheng,35.0231,110.9928,61.5,65,61,4.94,CN,1681319634
221,raudeberg,61.9875,5.1352,51.96,45,90,6.13,NO,1681319141
222,kahului,20.8947,-156.47,76.84,60,0,14.97,US,1681319109
223,longyearbyen,78.2186,15.6401,33.64,75,75,11.5,SJ,1681319232
224,huaraz,-9.5333,-77.5333,66.43,50,87,2.62,PE,1681319423
225,palana,59.1167,159.9667,-7.49,97,21,5.41,RU,1681319635
226,lujan,-34.5703,-59.105,67.71,76,100,11.59,AR,1681319635
227,saint anthony,45.0205,-93.218,79.25,43,0,17.27,US,1681319636
228,naze,28.3667,129.4833,64.72,73,93,9.4,JP,1681319636
229,maragogi,-9.0122,-35.2225,83.26,70,91,10.45,BR,1681319346
230,ahipara,-35.1667,173.1667,60.73,94,69,6.55,NZ,1681319256
231,puerto carreno,6.189,-67.4859,96.28,36,87,4.03,CO,1681319637
232,trairi,-3.2778,-39.2689,87.17,52,92,11.32,BR,1681319085
233,kindu,-2.95,25.95,74.17,83,100,1.74,CD,1681319637
234,shawnee,39.05,-95.7669,77.95,43,0,21.85,US,1681319522
235,snasa,64.2457,12.3778,49.41,94,93,8.39,NO,1681319637
236,nabire,-3.3667,135.4833,74.93,88,81,3.09,ID,1681319638
237,otradnoye,59.7775,30.8181,50.05,88,13,6.98,RU,1681319318
238,casablanca,33.5928,-7.6192,71.82,69,0,11.92,MA,1681319372
239,thompson,55.7435,-97.8558,28.56,93,100,12.66,CA,1681319137
240,kodiak,57.79,-152.4072,38.71,65,20,10.36,US,1681319207
241,sao joao da barra,-21.6403,-41.0511,80.69,72,100,10.09,BR,1681319180
242,caronport,50.4501,-105.8179,39.2,74,77,11.79,CA,1681319639
243,aswan,24.0934,32.907,71.22,18,0,14.12,EG,1681319639
244,kondinskoye,59.6481,67.41,33.28,92,99,8.81,RU,1681319639
245,jiayuguan,39.8167,98.3,46.6,43,84,6.71,CN,1681319271
246,los llanos de aridane,28.6585,-17.9182,69.55,68,20,14.97,ES,1681319212
247,kamloops,50.6665,-120.3192,40.57,69,99,5.99,CA,1681319220
248,yerofey pavlovich,53.9667,121.9667,14.88,94,100,3.58,RU,1681319640
249,ilembula,-8.9,34.5833,63.54,94,100,6.58,TZ,1681319359
250,hede,33.7681,120.2517,50.07,46,100,9.82,CN,1681319640
251,lamu,-2.2717,40.902,84.42,76,100,10.6,KE,1681319641
252,el alto,-4.2714,-81.2147,78.46,80,100,8.81,PE,1681319641
253,byron bay,-28.65,153.6167,57.7,51,14,6.96,AU,1681319642
254,boralday,43.3578,76.8594,51.66,58,20,6.71,KZ,1681319642
255,torbay,47.6666,-52.7314,49.75,45,75,3.44,CA,1681319151
256,katobu,-4.9408,122.5276,75.7,92,88,0.18,ID,1681319643
257,vardo,70.3705,31.1107,31.98,64,40,17.27,NO,1681319643
258,ponta do sol,32.6667,-17.1,72.72,62,1,5.39,PT,1681319144
259,peniche,39.3558,-9.3811,59.56,74,100,20.49,PT,1681319263
260,mullingar,53.5333,-7.35,45.68,87,100,23.87,IE,1681319644
261,chengde,40.9725,117.9361,49.42,31,43,0.65,CN,1681319645
262,svetlyy,54.675,20.1347,53.65,77,66,7.58,RU,1681319645
263,egvekinot,66.3167,-179.1667,-7.69,88,86,7.83,RU,1681319645
264,verkhnevilyuysk,63.4453,120.3167,9.0,95,43,4.92,RU,1681319646
265,sao filipe,14.8961,-24.4956,71.85,73,14,5.99,CV,1681319253
266,biak,-0.9131,122.8766,77.49,85,70,2.17,ID,1681319646
267,pangnirtung,66.1451,-65.7125,17.06,85,69,2.71,CA,1681319279
268,anadyr,64.75,177.4833,-12.5,77,0,6.71,RU,1681319319
269,kovdor,67.5662,30.4758,24.94,91,62,6.15,RU,1681319647
270,hamilton,39.1834,-84.5333,76.59,34,0,12.66,US,1681319233
271,zhmerynka,49.037,28.112,45.5,95,100,7.02,UA,1681319648
272,vanimo,-2.6741,141.3028,75.54,83,97,1.77,PG,1681319260
273,honningsvag,70.9821,25.9704,33.55,60,0,23.02,NO,1681319648
274,obihiro,42.9172,143.2044,37.15,61,1,4.5,JP,1681319648
275,ginda,30.6945,78.4932,57.24,40,21,8.08,IN,1681319649
276,kawalu,-7.3817,108.2082,73.42,98,100,1.05,ID,1681319649
277,shingu,33.7333,135.9833,49.5,85,1,6.26,JP,1681319650
278,flinders,-34.5833,150.8552,61.18,82,95,7.0,AU,1681319179
279,mount isa,-20.7333,139.5,71.37,60,100,3.44,AU,1681319650
280,walvis bay,-22.9575,14.5053,63.45,66,0,11.59,NA,1681319314
281,alice springs,-23.7,133.8833,74.75,50,100,6.91,AU,1681318963
282,bouca,6.5105,18.2733,85.55,43,62,5.53,CF,1681319651
283,kabo,7.6994,18.629,91.26,30,95,3.11,CF,1681319652
284,kiunga,-6.1219,141.2906,73.49,100,100,1.52,PG,1681319654
285,gao,16.6362,1.637,99.75,8,56,5.86,ML,1681318971
286,delvada,20.7667,71.0333,83.52,49,79,9.26,IN,1681319655
287,oga,46.4631,10.347,44.69,97,100,5.1,IT,1681319655
288,yanam,16.7333,82.2167,80.65,71,0,3.31,IN,1681319312
289,hambantota,6.1241,81.1185,81.23,80,100,11.72,LK,1681319203
290,ust-maya,60.4167,134.5333,8.1,97,85,3.51,RU,1681319656
291,zhangjiakou,40.81,114.8794,55.44,27,96,1.23,CN,1681319656
292,klaksvik,62.2266,-6.589,45.52,93,100,27.02,FO,1681319156
293,kailua,21.4022,-157.7394,75.18,77,100,5.01,US,1681319657
294,ponnani,10.767,75.9252,83.52,81,1,3.04,IN,1681319395
295,hervey bay,-25.2986,152.8535,71.94,69,20,12.48,AU,1681319255
296,svobodnyy,51.4,128.1333,29.62,62,91,13.56,RU,1681319658
297,vilhena,-12.7406,-60.1458,81.14,71,68,3.53,BR,1681319658
298,mbala,-8.8402,31.3659,62.01,92,100,2.08,ZM,1681319659
299,mabaruma,8.2,-59.7833,87.8,51,75,7.16,GY,1681319659
300,concordia,-31.393,-58.0209,78.87,80,75,5.99,AR,1681319659
301,marica,-22.9194,-42.8186,85.95,68,97,6.17,BR,1681319627
302,ghanzi,-21.5667,21.7833,76.39,25,0,6.22,BW,1681319660
303,saint-louis,16.3333,-15.0,91.54,30,96,4.76,SN,1681319661
304,arrifes,37.7667,-25.7,61.05,82,75,8.05,PT,1681319661
305,savannah bight,16.45,-85.85,77.45,71,0,1.36,HN,1681319662
306,cervo,43.6702,-7.4101,53.96,60,64,19.17,ES,1681319662
307,bani walid,31.7566,13.9942,75.83,13,0,4.43,LY,1681319662
308,juegang,32.3174,121.1855,56.98,61,99,9.98,CN,1681319663
309,pisco,-13.7,-76.2167,82.02,61,0,8.05,PE,1681319231
310,petlawad,23.0,74.8,89.62,22,7,13.24,IN,1681319664
311,san patricio,28.017,-97.5169,76.95,53,0,6.89,US,1681319203
312,kachug,53.9606,105.8817,25.54,67,100,7.85,RU,1681319665
313,victor harbor,-35.5667,138.6167,56.68,77,37,9.8,AU,1681319665
314,puerto leguizamo,-0.1934,-74.7819,88.84,61,78,1.16,CO,1681319665
315,xining,36.6167,101.7667,50.41,30,96,8.37,CN,1681319666
316,agirish,61.9247,63.0231,24.39,97,100,8.48,RU,1681319666
317,samana,19.2056,-69.3369,82.62,74,40,6.91,DO,1681319667
318,birjand,32.8663,59.2211,73.87,13,40,6.91,IR,1681319667
319,karema,-6.8205,30.4389,74.17,83,100,1.99,TZ,1681319668
320,noumea,-22.2763,166.4572,79.0,99,91,2.3,NC,1681319485
321,boden,65.8252,21.6886,42.8,100,100,4.29,SE,1681319669
322,gravdal,68.1214,13.5031,48.09,49,0,9.22,NO,1681319669
323,svetlogorsk,52.6333,29.7333,49.69,75,100,14.29,BY,1681319258
324,san juan,-31.5375,-68.5364,69.42,49,100,17.13,AR,1681319176
